ПУТЬ,УРОВЕНЬ,НАЗВАНИЕ ОБЪЕКТА,ОПИСАНИЕ ОБЪЕКТА,НАЗВАНИЕ ОПРЕДЕЛЕНИЯ,СЛОЙ,ОБЪЕМ ОБЪЕКТА,X,Y,Z,LENX,LENY,LENZ,MATERIAL,
"150x50","1","150x50","","-","3.5 Стена В","1189.6302651","228.346459","-269.685039","-70.671694","5.905512","1.968504","102.333592","Color C03",
"25x100","1","25x100","","-","2.2 Обрешетка сетки","325.4091154","177.165355","-59.890326","2.952756","0.984252","3.937008","83.976378","Color F02",
"150x50","1","150x50","","-","2.5 Лаги пола","2746.0684843","433.070866","-275.590551","5.905512","5.905512","1.968504","236.220472","Color C03",
"25x100","1","25x100","","-","2.2 Обрешетка сетки","325.4091154","216.535434","-59.890326","2.952756","0.984252","3.937008","83.976378","Color F02",
"150x50","1","150x50","","-","2.1 Обвязка","1281.4986257","-66.929134","-3.937008","0.0","5.905512","1.968504","110.23622","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1281.4986257","-66.929134","-269.685039","0.0","5.905512","1.968504","110.23622","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1304.3825428","-186.410292","-93.818898","0.0","5.905512","1.968504","112.204724","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1044.879058","3.937008","136.041632","0.0","5.905512","1.968504","89.88189","Color C03",
"150x50","1","150x50","","-","2.5 Лаги пола","2746.0684843","433.070866","-1.968504","5.905512","5.905512","1.968504","236.220472","Color C03",
"150x50","1","150x50","","-","2.5 Лаги пола","1208.2701343","234.251969","-177.827646","5.905512","5.905512","1.968504","103.937008","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1079.2049147","0.0","-211.830084","0.0","5.905512","1.968504","92.834646","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","999.1112502","5.905512","131.022759","0.0","5.905512","1.968504","85.944882","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1281.4986257","-181.102362","-269.685039","0.0","5.905512","1.968504","110.23622","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1304.3825428","-70.26856","-93.818898","0.0","5.905512","1.968504","112.204724","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1304.3825428","-186.410292","-89.88189","0.0","5.905512","1.968504","112.204724","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1304.3825428","-70.26856","-89.88189","0.0","5.905512","1.968504","112.204724","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1281.4986257","-181.102362","-3.937008","0.0","5.905512","1.968504","110.23622","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1021.99516","118.110234","145.201772","0.0","5.905512","1.968504","87.913386","Color C03",
"150x50","1","150x50","","-","2.1 Обвязка","1021.99516","120.078738","145.201772","0.0","5.905512","1.968504","87.913386","Color C03",
"150x50","1","150x50","","-","2.5 Лаги пола","1949.7086257","234.251969","-389.678218","5.905512","5.905512","1.968504","167.716535","Color C03",
"150x50","1","150x50","","-","3.5 Стена В","2608.7650576","-181.10236","-269.685039","118.937007","5.905512","1.968504","224.409449","Color C03",
"150x50","1","150x50","","-","3.5 Стена В","1189.6302651","5.905514","-269.685039","-70.671695","5.905512","1.968504","102.333592","Color C03",
"150x50","1","150x50","","-","3.5 Стена В","2608.76506","-190.94488","-269.685039","14.606298","5.905512","1.968504","224.409449","Color C03",
"25x100","1","25x100","","-","2.2 Обрешетка сетки","325.4091154","196.850395","-59.890326","2.952756","0.984252","3.937008","83.976378","Color F02",
"150x50","1","150x50","","-","3.6 Стена З","1189.6302651","5.905514","0.0","-70.671695","5.905512","1.968504","102.333592","Color C03",
"150x50","1","150x50","","-","2.5 Лаги пола","263.1648967","108.184544","-235.23622","5.905512","5.905512","1.968504","22.637795","Color C03",
